Compound Number,File,RT [min],Precursor m/z (Da),Priority/Bonus,Adduct,InChIKey,SMILES
224,A_M30_negPFP_03,5.08,889.1469,Priority,[M-H]-,PLESAOGBVATPML-LMAPNQLBSA-N,C1C2C(C(C(C(O2)OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC=C(C=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C(C=C7C(=O)O1)O)O)O)O)O)O
225,E_M40_negPFP_04,0.39,475.1473,Priority,[M+Cl]-,GZKLJWGUPQBVJQ-UHFFFAOYSA-N,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O
226,E_M76_posPFP_01,3.26,148.0757,Priority,[M+H]+,DWAQDRSOVMLGRQ-UHFFFAOYSA-N,COC1=CC2=C(C=C1)NC=C2
227,E_M35_posPFP_01,6.16,489.1243,Priority,[M+H]+,PLHJCIYEEKOWNM-UHFFFAOYSA-N,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
228,A_M23_posPFP_01,4.28,251.1642,Priority,[M+H]+,BUOMUXLXLTWQRD-UHFFFAOYSA-N,CC1CC=C2C(=C1C=O)OC(C2(C)C)C(C)CO
229,A_M3_posPFP_01,5.76,337.2737,Priority,[M+H]+,VOCMJEUNEDTYIN-JKMCDVCNSA-N,CCC(C)C1C(=CC2CC(CC(C2C1(C)C(=O)CCO)C)C)CO
230,A_M6_posPFP_02,5.63,371.1829,Priority,[M+Na]+,HETFHSADNIQCEJ-UHFFFAOYSA-N,CC1=C(OC=C1)C(C(C2(CCC=C(C(=O)O2)CCC=C(C)C)C)O)O
231,A_M26_posPFP_02,4.14,551.2827,Priority,[M+Na]+,ZVUKZMWLRYNENB-KPPISPLZSA-N,CC(=CCCC(=CCCC(C)(C=C)OC1C(C(C(C(O1)CO)O)O)O)CO)CC(C=C(C)C(=O)OC)O
232,A_M28_negPFP_03,3.69,329.1031,Priority,[M-H]-,CLQSQZGNPFWGAE-INIZCTEOSA-N,COC1=C(C=CC(=C1)C=CC(=O)OCC(C2=CC=C(C=C2)O)O)O
233,A_M6_negPFP_03,2.75,265.1445,Priority,[M-H]-,JVWMEYMYQAAGMM-VDEZILSRSA-N,CC1=C(CC2(C13CCC(C3C(C2)O)(C)O)C)C(=O)O
234,A_M24_negPFP_03,5.63,371.1136,Priority,[M-H]-,LRDZBWWOVQELFI-UHFFFAOYSA-N,CC1CC2(C3C(C1C)C4=CC5=C(C=C4OC36C(=CC2=O)OCO6)OCO5)O
235,A_M8_negPFP_03,1.82,495.1144,Priority,[M-H]-,QCKMSYZHBPNLCB-ZFVOUSBOSA-N,COC1=C(C=CC(=C1)C(=O)OC2=CC(=CC(=C2CC(=O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O
236,A_M30_negPFP_03,3.79,1129.5436,Priority,[M-H]-,YYJQHCMKQJHGGA-VBJBMQEVSA-N,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C(=O)O)C(=O)OC8C(C(C(C(O8)COC9C(C(C(C(O9)COC(=O)C)O)O)O)O)O)O)C)C)C)O)O)O)O)O
237,E_M76_posPFP_01,5.90,278.1176,Priority,[M+H]+,FBLAHUMENIHUGG-UHFFFAOYSA-N,CC1=CC=CC=C1NC(=O)C2=CC3=CC=CC=C3C=C2O
238,E_M35_posPFP_01,7.09,531.4408,Priority,[M+H]+,YCZJVRCZIPDYHH-UHFFFAOYSA-N,CCCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCCCC
239,E_M40_negPFP_03,5.97,500.9259,Priority,[M-H]-,BHFJBHMTEDLICO-UHFFFAOYSA-N,C(C(C(C(C(F)(F)S(=O)(=O)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
240,A_M6_negPFP_04,2.04,374.1376,Priority,[M+Cl]-,JGCPVCKZVBKIHO-UHFFFAOYSA-N,CCC(C(C)O)(C(=O)OCC1=CC=C(C=C1)NCCCC(=O)O)O
241,A_M24_negPFP_04,2.24,457.0907,Priority,[M+Cl]-,LRFIKYDSTHZRKW-STEXWYFWSA-N,C1=CC(=CC=C1COC(=O)C2=CC(=C(C=C2)O)O)OC3C(C(C(C(O3)CO)O)O)O
242,A_M8_negPFP_04,1.82,671.0657,Priority,[M+Cl]-,SUAXOYITDJNGFM-AJHJKSEASA-N,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
243,A_M26_posPFP_01,4.50,589.3007,Priority,[M+H]+,XBOVCSNIOQPGAW-UBNYYTIRSA-N,CC1C(C(C(C(O1)OC2CCC3(C4CC(C5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)OC(=O)C)C)O)O)O
244,A_M23_posPFP_01,5.43,421.2585,Priority,[M+H]+,YXNJBOPJNBXMGA-HUDUBEJRSA-N,CC(=O)OCC1(C2CCC34CC(CCC3C2(CCC1=O)C)C(C4)(COC(=O)C)O)C
245,A_M3_posPFP_02,2.89,553.2619,Priority,[M+Na]+,LZIOIGRHSJIZED-UHFFFAOYSA-N,CC1(CCC2C(C1O)OC(=O)CC3C2(CCCC3(C)C(=O)O)C)CCOC4C(C(C(C(O4)CO)O)O)O
246,A_M6_posPFP_01,2.79,424.1602,Priority,[M+NH4]+,VKSWFQCTDQBTII-STEXWYFWSA-N,C1=CC(=CC=C1COC(=O)C2=CC=C(C=C2)O)OC3C(C(C(C(O3)CO)O)O)O
247,A_M28_negPFP_03,5.51,375.0722,Priority,[M-H]-,WBPAMTGAAPNFPT-UHFFFAOYSA-N,CC1=CC(=C(C(=C1C(=O)O)OC2=C(C(=CC(=C2C)OC)C(=O)O)O)C=O)O
248,E_M86_posPFP_01,8.18,453.2397,Priority,[M+H]+,PRDFBSVERLRRMY-UHFFFAOYSA-N,CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N6CCN(CC6)C
249,E_M35_posPFP_01,6.61,625.8278,Priority,[M+H]+,NEMNPWINWMHUMR-UHFFFAOYSA-N,C1=CC(=CC=C1OC2=C(C=C(C=C2)NC(=O)C3=C(C(=CC(=C3)I)I)O)Cl)Cl
250,E_M44_negPFP_03,4.02,175.0401,Priority,[M-H]-,YMZTUCZCQMQFMK-UHFFFAOYSA-N,CC1=C(OC2=CC=CC=C12)C(=O)O
